,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,,Def Interceptions,,,,,Fumbles,,,,,Unnamed: 17_level_0,Tackles,,,,,Unnamed: 23_level_0,Year
,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,
64,65,Josh Jacobs,GNB,26,RB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,2024
65,66,Grady Jarrett,ATL,31,DL,16,16,0,0,0,0,0,0,0,0,0,0,2.5,51,28,23,9,12,0,2024
66,67,Justin Jefferson,MIN,25,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2024
67,68,John Jenkins,LVR,35,DT,16,16,0,0,0,0,2,0,0,0,0,0,1.0,42,12,30,3,4,0,2024
68,69,Jaylon Johnson,CHI,25,DB,16,16,2,11,0,9,7,0,0,0,0,0,0.0,48,38,10,7,0,0,2024
69,70,Aaron Jones,MIN,30,RB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,2024
70,71,D.J. Jones,DEN,29,DT,16,16,0,0,0,0,3,0,0,1,0,0,1.0,41,21,20,1,3,0,2024
71,72,DaQuan Jones,BUF,33,DT,16,16,0,0,0,0,1,0,0,0,0,0,2.5,23,11,12,5,7,0,2024
72,73,Jaylon Jones,IND,22,CB,16,16,2,5,0,5,12,1,0,0,0,0,0.0,91,61,30,3,0,0,2024
73,74,Robert Jones,MIA,25,OL,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
74,75,Cameron Jordan,NOR,35,DE,16,16,1,0,0,0,4,0,0,0,0,0,4.0,33,17,16,6,8,0,2024
75,76,Kerby Joseph,DET,24,S,16,16,9,99,1,33,12,0,0,0,0,0,0.0,77,54,23,1,0,0,2024
76,77,Cam Jurgens,PHI,25,OL,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,2024
77,78,Travis Kelce,KAN,35,TE,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,2024
78,79,Javon Kinlaw,NYJ,27,DT,16,16,0,0,0,0,0,1,0,1,4,0,3.5,38,25,13,4,5,0,2024
79,80,Tucker Kraft,GNB,24,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,2024
80,81,Quentin Lake,LAR,25,DB,16,16,0,0,0,0,5,0,0,0,0,0,2.0,111,73,38,1,2,0,2024
81,82,Harold Landry,TEN,28,OLB,16,16,0,0,0,0,4,0,0,0,0,0,8.0,69,40,29,13,14,1,2024
82,83,JC Latham,TEN,21,OT,16,16,0,0,0,0,0,0,0,3,4,0,0.0,0,0,0,0,0,0,2024
83,84,Tyler Linderbaum,BAL,24,C,16,16,0,0,0,0,0,0,2,0,-13,0,0.0,0,0,0,0,0,0,2024
84,85,Drake London,ATL,23,WR,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
85,86,Julian Love,SEA,26,FS,16,16,2,26,0,26,9,2,0,1,6,0,0.0,103,75,28,3,0,0,2024
86,87,Frankie Luvu,WAS,28,LB,16,16,1,0,0,0,7,1,0,2,5,0,8.0,90,47,43,11,14,0,2024
87,88,Nnamdi Madubuike,BAL,27,DT,16,16,0,0,0,0,1,1,0,0,0,0,6.5,39,20,19,10,16,0,2024
88,89,Patrick Mahomes,KAN,29,QB,16,16,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,2024
89,90,Quan Martin,WAS,24,DB,16,16,1,29,0,29,3,3,0,0,0,0,0.0,87,50,37,2,1,0,2024
90,91,Tyrann Mathieu,NOR,32,S,16,16,3,29,0,23,7,2,0,1,0,0,0.0,60,46,14,1,0,0,2024
91,92,Jake Matthews,ATL,32,T,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
92,93,Baker Mayfield,TAM,29,QB,16,16,0,0,0,0,0,0,13,8,-18,0,0.0,0,0,0,0,0,0,2024
93,94,Zyon McCollum,TAM,25,CB,16,16,2,4,0,4,13,0,0,1,0,0,0.0,76,51,25,1,0,0,2024
94,95,Isaiah McDuffie,GNB,25,LB,16,16,0,0,0,0,3,1,0,0,0,0,0.5,94,46,48,3,3,0,2024
95,96,Trent McDuffie,KAN,24,CB,16,16,2,0,0,0,13,1,0,0,0,0,0.5,59,45,14,6,4,0,2024
96,97,Xavier McKinney,GNB,26,S,16,16,7,111,0,48,10,0,0,1,7,0,1.0,84,57,27,2,1,0,2024
97,98,Terry McLaurin,WAS,29,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,2024
98,99,Patrick Mekari,BAL,27,OL,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
99,100,Kolton Miller,LVR,29,T,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
100,101,Quinyon Mitchell,PHI,23,CB,16,16,0,0,0,0,12,0,0,0,0,0,0.0,46,37,9,0,0,0,2024
101,102,Tre'von Moehrig,LVR,25,S,16,16,2,28,0,16,10,0,0,2,0,0,1.0,97,62,35,5,3,0,2024
102,103,D.J. Moore,CHI,27,WR,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
103,104,Mitch Morse,JAX,32,OL,16,16,0,0,0,0,0,0,2,1,-7,0,0.0,0,0,0,0,0,0,2024
104,105,Byron Murphy,MIN,26,CB,16,16,6,2,0,2,14,1,0,0,0,0,0.0,74,57,17,5,0,0,2024
105,106,Kyler Murray,ARI,27,QB,16,16,0,0,0,0,0,0,8,3,-4,0,0.0,0,0,0,0,0,0,2024
106,107,Bo Nix,DEN,24,QB,16,16,0,0,0,0,0,0,3,2,-2,0,0.0,0,0,0,0,0,0,2024
107,108,Brian O'Neill,MIN,29,T,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
108,109,Osa Odighizuwa,DAL,26,DT,16,16,0,0,0,0,1,1,0,0,0,0,4.0,44,25,19,5,22,0,2024
109,110,Otito Ogbonnia,LAC,23,DT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,36,13,23,0,2,0,2024
110,111,Michael Onwenu,NWE,27,OL,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
111,112,Daron Payne,WAS,27,DT,16,16,0,0,0,0,1,0,0,0,0,0,4.0,40,22,18,5,7,0,2024
112,113,Harrison Phillips,MIN,28,DL,16,16,0,0,0,0,4,1,0,1,0,0,2.0,50,15,35,2,5,0,2024
113,114,Germaine Pratt,CIN,28,LB,16,16,2,26,0,24,6,2,0,2,9,0,0.0,137,78,59,4,4,0,2024
114,115,Patrick Queen,PIT,25,LB,16,16,0,0,0,0,6,1,0,1,0,0,0.0,124,62,62,5,3,0,2024
115,116,Jalen Ramsey,MIA,30,CB,16,16,2,7,0,7,10,0,0,0,0,0,1.0,57,36,21,5,4,0,2024
116,117,Justin Reid,KAN,27,S,16,16,2,8,0,8,9,0,0,0,0,0,0.0,87,61,26,5,2,0,2024
117,118,Bijan Robinson,ATL,22,RB,16,16,0,0,0,0,0,0,1,4,-21,0,0.0,0,0,0,0,0,0,2024
118,119,Aaron Rodgers,NYJ,41,QB,16,16,0,0,0,0,0,0,5,3,0,0,0.0,0,0,0,0,0,0,2024
